Agriculture,منتجات زراعة
Aluminum Ingots,سبائك أولمنيوم
Antimony Ingots,سبائك أنتيمون
Bismuth Ingots,سبائك بزموت
Copper Ingots,سبائك نحاس
Indium Ingots,سبائك إنديوم
Lead Ingots,سبائك رصاص
Magnesium Ingots,سبائك مغنيسيوم
Manganese Ingots,سبائك منغنيز
Silicon Ingots,سبائك سليكون
Steel Ingots,سبائك فولاذ
Tin Ingots,سبائك قصدير
Titanium Ingots,سبائك تيتانيوم
Zinc Ingots,سبائك زنك
Iron Pipes,مواسير حديد
Iron Wire,أسلاك حديد
Stainless Scrap,خردة مقاومة للصدأ
Copper Scrap,خردة نحاس
Iron Scrap,خردة حديد
Lead Scrap,خردة رصاص
Steel Scrap,خردة الصلب
Titanium Scrap,خردة تيتانيوم
Aluminum Scrap,خردة ألومنيوم
Barite,باريت
Bentonite,بنتونيت
Dolomite,دولوميت
Kaolin,كاولين
Mica,ميكا
Perlite,بيرلايت
Sepiolite,سيليكات المغنزيوم المائي
Silica,سيليكا
Talc,تلك
Vermiculite,فيرميكوليت
Wollastonite,ولستونيت
Bauxite Ore,بوكسيت خام
Chrome Ore,كروم خام
Copper Ore,نحاس خام
Iron Ore,حديد خام
Lead Ore,رصاص خام
Manganese Ore,منغنيز خام
Nickel Ore,نيكل خام
Titanium Ore,تيتانيوم خام
Tungsten Ore,تنجستن خام
Zinc Ore,زنك خام
Quartz Crucible,بوتقة صخر بلوري
Quartz Plate,لوحة صخر بلوري
Quartz Rods,قضبان صخر بلوري
Quartz Stone,حجر صخر بلوري
Quartz Tubes,أنابيب صخر بلوري
Bearing Steel,فولاز تحميل
Silicon Steel,فولاذ السليكون
Spring Steel,فولاذ الزنبركات
Stainless Steel,فولاز غير قابل للصدأ
Steel Pipes,أنابيب فولاذية
Steel Profiles,أشكل فولاذية
Steel Rails,سكك فولاذية
Steel Rebars,فولاز التسليح
Steel Round Bars,قضبان فولاذ مبروم
Steel Sheets,صفائح فولاذية
Steel Strips,شرائط فولاذ
Steel Structures,هياكل فولاذية
Steel Wire,أسلاك الفولاذ
Structural Steel,فولاذ هياكل
Tinplate,صفيح فولاذي مقصدر
Titanium Bars,قضبان تيتانيوم
Titanium Foil,رقائق تيتانيوم
Titanium Pipes,أنابيب تيتانيوم
Titanium Powder,مسحوق تيتانيوم
Titanium Sheets,صفائح تيتانيوم
Titanium Wire,أسلاك تيتانيوم
Tungsten Crucibles,بوتقة تنغستين
Tungsten Bars,قضبان تنغستين
Tungsten Foil,رقائق تنغستين
Tungsten Pipes,أنابيب تنغستين
Tungsten Powder,مسحوق تنغستين
Tungsten Sheets,أوراق تنغستين
Tungsten Wire,أسلاك تنغستين
Aluminum Wire Mesh,شبكة أسلاك ألومنيوم
Copper Wire Mesh,شبكة أسلاك نحاس
Iron Wire Mesh,شبكة أسلاك حديد
Steel Wire Mesh,شبكة أسلاك فولاذ
Art Sets,أطقم فنون
Calligraphy Brushes,فراشي تخطيط
Crayons,طباشير
Paint Brushes,فراشي طلاء
Painting Medium,وسيط مواد رسم وطلاء
Paints,دهانات
Palette,لوحة ألوان
Blackboard,سبورة
Bulletin Board,لوحة إعلانات
Flip Chart,لوح ورقي قلاب
White Board,المجلس الأبيض
Blackboard Eraser,ممحاة سبورة
Whiteboard Eraser,ممحاة لوح أبيض
Correction Fluid,سائل تصحيح
Correction Tape,شريط تصحيح
Eraser,ممحاة
Card Holder & Note Holder,حافظة بطاقات وملاحظات
Clip Holder & Clip Dispenser,حاملات وموزعات مشابك
Desk Set,أطقم مكتب
File Tray,درج ملفات
Letter Holder,حامل رسالئل
Magazine Organizer,منظم مجلات
Pen Holders,حافظات أقلام
Stationery Holder,حافظات قرطاسية
Compasses,بوصلة
Math Sets,مجموعات الرياضيات
Protractor,منقلة
Rulers,مساطر
Chalk,الطباشير
Educational Equipment,معدات تعليمية
Teaching Resources,موارد التعليمية
Art Markers,أقلام تخطيط فني
Highlighters,أقلام تمييز
Whiteboard Marker,أقلام سبورة بيضاء
Memo Pad,وسادة مذكرة
Glue Stick,قلم صمغ
Liquid Glue,صمغ سائل
Office Adhesive Tape,شريط لاصق
Tape Dispenser,موزع الشريط اللاصق
Hole Punch,خَرَّامَة
Clips,مقاطع
Stapler,دباسة
Pin,دبوس
Staple Remover,مزيل مشبك التدبيس
Staples,مشتبك التدبيس
Letter Opener,فتاحة رسائل
Paper Scissors,مقص ورق
Utility Knife,سكينة متعددة الإستخدامات
All In One Printers,طابعة متعددة الإستخدامات
Binding Machinery,ماكينة تغليف كتب
Conference System,نظم مكالمة جماعية للمكاتب
Copiers,آلات نسخ
Digital Duplicator,ناسخة رقمية
Fax Machinery,أجهزة فاكس
Graph Plotter,راسم بياني
Laminator,ماكينة تصفيح
Paper Trimmer,أداة تقليم ورق
Presentation Equipment,أجهزة عرض وتقديم
Shredder,ماكينة تقطيع أوراق
Time Recording,مسجلة وقت
Carbon Paper,ورق كربون
Carbonless Paper,ورق كيماوي ناسخ
Cash Register Paper,ورق آلة تسجيل النقود
Photo Paper,ورق تصوير
Thermal Fax Paper,ورق فاكس حراري
Pencil Bags,حقائب أقلام رصاص
Colored Pencils,أقلام رصاص ملونة
Mechanical Pencils,أقلام رصاص ميكانيكية
Standard Pencils,أقلام رصاص قياسية
Gel Pens,أقلام جيل
Multi Function Pen,أقلام متعددة الوظائف
Cartridge Chip,رقاقة خرطوشة طابعة
Continuous Ink Supply System,نظام تغذية حبر مستمرة
Fuser Film Sleeves,فوزر فيلم الأكمام
Ink Cartridge,خرطوشة حبر
Ink Refill Kits,خرطوشة حبر طابعات نافثة الحبر
Printer Ribbons,أشرطة طابعات
Toner Cartridge,خرطوشة حبر طابعات ليزر
Toner Powder,مسحوق حبر طابعات ليزر
Ice Pack,كيس ثلج
Printing Inks,أحبار الطباعة
Printing Mesh,شبكة طباعة
Printing Plate,لوحة طباعة
Desk Replication & Printing,مكتب نسخ وطباعة
Metal Printing,طباعة معادن
Plastic Printing,طباعة بلاستيك
Transfer Printing,طباعة نقل
Agricultural Plastic Products,منتجات بلاستيكية زراعية
Automotive Plastic Products,منتجات بلاستيكية للسيارات
Composite Pipes,أنابيب مركبة
Electronic Plastic,بلاستيك إلكتروني
Home Appliance Plastic,أجهزة منزلية بلاستيكية
Medical Plastic,بلاستيك طبي
Plastic Cards,بطاقات بلاستيكية
Plastic Nets,شبكات بلاستيك
Plastic Rods,قضبان بلاستيك
Plastic Sheets,أغطية بلاستيكية
Plastic Tubes,أنابيب بلاستيكية
Abs,ستايرين
Eps,بوليستيرين مطرّق
Eva,فينيل
Hdpe,بولي إيتيلين عالي الكثافة
Hips,بوليستيرين عالي الفاعلية
Ldpe,بولي إيتيلين قليل الكثافة
Lldpe,بولي إيتيلين خطي قليل الكثافة
Pa,متعدد الأميد
Pbt,ريفثالات الأثيلين المتعدد
Pc,بوليمير بولي الكربونات
Pet,تريفثالات الأثيلين المتعدد
Plastic Masterbatches,أصبغة بلاستيك
Pmma,ميثيل ميثاكريليت المتعدد
Pom,بوم
Pp,بوليبروبيلين
Ppo,أوكسيد بولي الفينيلين
Pps,بولي فينيلين الكبريت
Ps,بوليستيرين
Ptfe,بولي تترافلوروإيثيلين
Pvc,كلوريد متعدد الفاينيل
Sbs,ستايرين بوتادين الستايرين
Tpe,إلاستومر حراري
Tpr,لدائن مرنة
Tpu,يوريثان متعدد ذو لدونة حرارية
Agricultural Rubber,مطاط زراعية
Automotive Rubber,مطاط سيارات
Home Appliance Rubber,مطاط أجهزة منزلية
Household Rubber,مطاط منزلي
Medical Rubber,مطاط طبي
Rubber Belts,أحزمة مطاط
Rubber Hoses,خراطيم مطاط
Rubber Rollers,بكرات مطاط
Rubber Sheets,صفائح مطاط
Butyl Rubber,مطاط اصطناعي
Crepe Rubber,مطاط كريب
Epdm,مطّاط الإيتيلين والبروبيلين
Fluorocarbon Rubber,مطاط فلوروكاربون
Latex Rubber,مطاط لاتكس
Natural Foam,رغوة طبيعية
Neoprene,نيوبرين
Nitrile Rubber,مطاط النتريل
Polyurethane Rubber,مطاط يوريثان المتعدد
Ribbed Smoked Sheets,صفائح مضلعة مدخنة
Rubber Masterbatches,أصبغة مطاط
Silicone Rubber,مطاط السيليكون
Styrene Butadiene Rubber,مطّاط ستايرين بوتادين
Access Control Card,بطاقات دخول
Access Control Card Reader,قارئات بطاقات دخول
Access Control Keypad,لوحة تحكم
Access Control System,أنظمة تحكم الدخول
Audio Door Phone,هواتف أبواب
Eas System,أنظمة مراقبة إلكترونية
Facial Recognition System,نظام التعرف على الوجه
Fingerprint Access Control,تحكم الخول عن طريق بصمات الأصابع
Video Door Phone,هواتف فيديو للأبواب
Baby Monitors,شاشات صغيرة
Cctv Accessories,ملحقات أنظمة الدوائر التلفزيونية المغلقة
Cctv Camera,كاميرات الدوائر التلفزيونية المغلقة
Cctv Camera Housing,أغطية كاميرات الدوائر التلفزيونية المغلقة
Cctv Dvr,مسجل أنظمة الدوائر التلفزيونية المغلقة
Cctv Lens,الدوائر التلفزيونية المغلقة عدسة
Cctv Monitor,شاشات أنظمة الدوائر التلفزيونية المغلقة
Cctv System,أنظمة الدوائر التلفزيونية المغلقة
Dvr Card,بطاقة مسجل فيديو رقمي
Fire Alarm,إنذار حريق
Fire Alarm Control Panel,لوحة تحكم إنذار الحريق
Fire Blanket,بطانية حريق
Fire Extinguisher,طفاية حريق
Fire Extinguisher Powder,بودرة إطفاء حريق
Fire Hose,خرطوم إطفاء حريق
Fire Hydrant,حنفية إطفاء حريق
Fire Suite,أطقم مكافحة حرائق
Firefighting Equipment,معدات مكافحة الحرائق
Heat Detector,كاشفات حرارة
Lighting Rod,قضيب إنارة
Smoke Detector,كاشفات دخان
Baton,هراوة
Bullet Proof Helmet,خوذة مضاضة للرصاص
Bullet Proof Vest,صدرية مضادة للرصاص
Gun Bag,حقيبة بندقية
Handcuff,أصفاد
Warning Tape,أشرطة تحذير
Alcohol Tester,جهاز اختبار كحول
Convex Mirror,مرآة محدبة
Reflective Material,مواد عاكسة
Reflective Safety Clothing,ملابس سلامة عاكسة
Road Stud,طلاء حدود الشارع
Speed Bump,مطب سرعة
Traffic Barrier,حاجز مرور
Traffic cone,مخروط مرور
Life Buoy,عوّامة النجاة
Life Raft,طوافة النجاة
Life Vest,صدرية النجاة
Chemical Respirator,غطاء الوقاية من الغازات
Ear Protector,واقي الأذن
Face Shield,درع حماية الوجه
Safety Belt & Accessories,أحزمة أمان وملحقاتها
Safety Clothing,ملابس سلامة
Safety Gloves,قفازات سلامة
Safety Goggles,نظارات سلامة
Safety Harness,رباط سلامة
Safety Helmet,خوذة سلامة
Advertising Boards,لوحات الإعلان
Advertising Inflatables,معدات إعلانية قابلة للنفخ
Advertising Light Boxes,صناديق إعلان ضوئية
Advertising Players,مشغلات إعلانات
Advertising Screens,شاشات إعلانية
Billboards,لوحات إعلانات
Display Racks,رفوف عرض
Poster Materials,مواد منشورات
Roll Up Display,لوحة إعلانية قابلة للطي
Atm,أجهزة الصراف الآلي
Bill Counters,عدّادات أوراق نقدية
Coins Counters & Sorters,عدادات نقود معدنية وفرّازات
Currency Binders,لفّافات عملة
Currency Detectors,كاشفات عملة
Payment Kiosks,أكشاك دفع
Pos Systems,أنظمة نقاط بيع
Cleaning Carts,عربات تنظيف
Drink Dispensers,موزعات شراب
Hotel Amenities,وسائل الراحة للفندق
Serving Trays,صواني خدمة
Umbrella Wrapping Machinery,ماكينات تغليف مظلات
Checkout Counters,منضدة بيع
Display Hooks,خطافات عرض
Labelers,آلات وضع علامات
Promotion Table,طاولات عروض بيع
Shopping Basket,سلة تسوق
Shopping Trolleys & Carts,عربات تسوّق
Showcase,واجهة عرض
Stacking Racks & Shelves,رفوف تخزين
Storage Cages,أقفاص تخزين
Banner Stands,أجنحة
Panel Display,لوحة عرض
Tabletop Display,منضدة عرض
Trade Show Tent,خيم معارض تجارية
Truss Display,جملون
Shoe Fabric,قماش أحذية
Shoe Leather,جلد أحذية
Shoe Plastic,بلاستيك أحذية
Shoe Rubber,مطاط أحذية
Insoles,نعال داخلية
Shoe Brush,فرشاة حذاء
Shoe Care Kit,مجموعة عناية بالأحذية
Shoe Decorations,زينة الأحذية
Shoe Deodorant,مزيل روائح أحذية
Shoe Dryer,مجفف أحذية
Shoe Hanger,علّاقات أحذية
Shoe Heels,كعوب أحذية
Shoe Hooks,خطافات أحذية
Shoe Labels & Tags,تسميات وعلامات أحذية
Shoe Linings,بطانات أحذية
Shoe Mesh,شبكات أحذية
Shoe Polish,ملمعات أحذية
Shoe Polishing Equipment,معدات تلميع أحذية
Shoe Trees,قوالب أحذية خشبية
Shoe Uppers,وجه حذاء
Shoe Zippers & Sliders,سحّابات أحذية ومزالج
Shoelaces,أربطة حذاء
Soles,نعال خارجية
Electrically Heated Shoes,أحذية قابلة للتسخين كهربائيا
Height Increasing Shoes,أحذية زيادة الطول
Massage Shoes,أحذية تدليك
Rain Boots,أحذية المطر
Safety Shoes,أحذية السلامة
Bumper Cars,سيارات اصطدام
Climbing Walls,جدران للتسلق
Playground,ملعب
Slides,منزلقات
Water Play Equipment,معدات ترفيه الماء
Boxing,الملاكمة
Dance Pads,حصيرة رقص
Gym Equipment,معدات نوادي الرياضة
Gymnastics,الرياضة الجمبازية
Jump Ropes,حبال قفز
Martial Arts,فنون الدفاع عن النفس
Outdoor Fitness Equipment,معدات اللياقة البدنية الخارجية
Pedometers,مقياس خطوات
Trampolines,ترامبولين
Weight Lifting,رفع الاثقال
Golf Bags,حقائب غولف
Golf Balls,كرات غولف
Golf Clubs,نوادي جولف
Golf Tees,محملات كرات غولف
Golf Training Aids,أدوات تدريب غولف
Golf Trolley,عربة نقل
Air Hockey,هوكي الهواء
Badminton,ريشة
Board Game,ألعاب لوحية
Bowling,بولينج
Chess Games,ألعاب الشطرنج
Coin Operated Games,ألعاب تدار بالنقود المعدنية
Darts,سهام
Snooker & Billiard,سنوكر والبلياردو
Soccer Tables,طاولاتكرة
Table Tennis,تنس الطاولة
Brass Instruments,أدوات نحاسية
Keyboard Instruments,أدوات ألواح المفاتيح
Percussion Instruments,أدوات إيقاعية
Stringed Instruments,آلات وترية
Woodwind Instruments,آلات النفخ الموسيقية
Bungee,قفز البنجي
Camping & Hiking,التخييم والمشي لمسافات طويلة
Go Karts,كارتينج
Horse Racing,سباق الخيل
Scooters,الدراجات الصغيرة
Shooting,الرماية
Boxing Gloves,قفازات الملاكمة
Golf Gloves,قفازات الغولف
Racing Gloves,قفازات السباق
Riding Gloves,قفازات الركوب
Ski Gloves,قفازات التزلج
Swimming & Diving Gloves,قفازات السباحة والغطس
Ankle Support,دعم وحماية الكاحل
Back Support,دعم وحماية الظهر
Elbow & Knee Pads,وسادات الكوع والركبة
Shin Guard,وقاية عظم الساق
Sweatband,عصابة امتصاص العرق
Waist Support,دعم الخصر
Wrist Support,دعم المعصم
Basketball,كرة السلة
Cheerleading,تشجيع اللاعبين
Cricket,الكريكيت
Football,كرة قدم
Ice Hockey & Field Hockey,هوكي الجليد والأرضي
Volleyball,كرة الطائرة
Tennis Balls,كرات تنس
Tennis Rackets,مضارب تنس
Racing Boats,قوارب سباق
Rowing Boats,قوارب تجديف
Surfing,تزلج على الماء
Swimming & Diving,السباحة والغوص
Broadcast Intercom System,أنظمة بث إتصال داخلي
Communication Cables,كابلات اتصالات
Fiber Optic Equipment,معدات ألياف ضوئية
Fixed Wireless Terminals,محطات لاسلكية ثابتة
Pbx,مقاسم (بدّالات)
Repeater,جهاز التكرار
Telecom Parts,قطع اتصال
Telecommunication Tower,برج اتصال
Voip Products,منتجات Voip
Wifi Finder,باحث واي فاي
Wireless Networking Equipment,معدات شبكات لاسلكية
Answering Machinery,آلات إجابة تلقائية
Caller Id Boxes,أجهزة هوية المتصل
Corded Telephones,هواتف سلكية
Cordless Telephones,هواتف لاسلكية
Phone Cards,بطاقات هاتف
Telephone Cords,كابلات هواتف
Telephone Headsets,سماعات هاتف
Down,زغب
100% Acrylic Fabric,٪100 نسيج الاكريليك
100% Cashmere Fabric,٪100 نسيج الكشمير
100% Cotton Fabric,٪100 نسيج القطن
100% Hemp Fabric,٪100 نسيج القنب
100% Jute Fabric,٪100 نسيج الجوت
100% Linen Fabric,٪100 نسيج الكتان
100% Nylon Fabric,٪100 نسيج النايلون
100% Polyester Fabric,٪100 نسيج البوليستر
100% Polypropylene Fabric,٪100 نسيج البوليبروبيلين
100% Ramie Fabric,٪100 نسيج قنب سيام
100% Rayon Fabric,٪100 نسيج حرير اصطناعي
100% Silk Fabric,٪100 نسيج الحرير
100% Viscose Fabric,٪100 نسيج فسكوز
100% Wool Fabric,٪100 نسيج الصوف
Aramid Fabric,نسيج الأرميد
Bamboo Fiber Fabric,نسيج ألياف الخيزران
Carbon Fiber Fabric,نسيج ألياف الكربون
Linen/Cotton Fabric,نسيج الكتان مع القطن
Metallic Fabric,نسيج لامع
Modacrylic Fabric,نسيج موداكريليك
Cotton Fabric,نسيج القطن والمودال
Nonwoven Fabric,أنسجة غير منسوجة
Nylon/Cotton Fabric,نسيج النايلون مع القطن
Organic Fabric,نسيج عضوي
Polyester/Acrylic Fabric,نسيج بوليستر مع أكريليك
Rayon/Polyester Fabric,نسيج حرير اصطناعي وبوليستر
Silk/Cotton Fabric,نسيج حرير وقطن
Soybean Fiber Fabric,نسيج ألياف حبوب الصويا
Viscose/Polyester Fabric,نسيج فسكوز وبولستر
Wool/Acrylic Fabric,نسيج قطن وأكريليك
Wool/Cashmere Fabric,نسيج صوف وكشمير
Wool/Nylon Fabric,نسيج صوف ونايلون
Wool/Polyester Fabric,نسيج صوف وبولستر
Wool/Viscose Fabric,نسيج فسكوز وصوف
Acrylic Fiber,ألياف أكريليك
Aramid Fiber,ألياف الأرميد
Bamboo Fiber,ألياف الخيزران
Hemp Fiber,أالياف القنب
Jute Fiber,ألياف الجوت
Linen Fiber,أالياف الكتان
Modacrylic Fiber,ألياف موداكريليك
Nylon Fiber,ألياف النايلون
Polyester Fiber,ألياف البوليستر
Polypropylene Fiber,ألياف البوليبروبيلين
Raw Cotton,قطن خام
Silk Fiber,ألياف حرير
Viscose Fiber,ألياف فيسكوز
Wool Fiber,ألياف صوف
Bed Skirt,سرير تنورة
Bedding Set,مجموعة مفارش أسرّة
Carpet,سجاد
Chair Cover,غطاء كرسي
Cushion Cover,غطاء وسادة
Duvet Cover,غطاء لحاف
Handkerchief,منديل
Mat,حصيرة
Mattress Cover,غطاء فراش
Mosquito Net,ناموسية
Quilt,لحاف
Rug,بساط
Sheet,شرشف
Sofa Cover,غطاء أريكة
Table Cloth,غطاء طاولة
Table Napkin,مناديل الطاولة
Towel,منشفة
Valance,ستارة
Genuine Leather,جلود حقيقية
Synthetic Leather,لود اصطناعية
Sashes,زنانير
100% Acrylic Yarn,٪100 خيط أكريليك
100% Bamboo Fiber Yarn,٪100 خيط ألياف الخيزران
100% Cashmere Yarn,٪100 خيط كشمير
100% Cotton Yarn,٪100 خيط قطن
100% Jute Yarn,٪100 خيط جوت
100% Linen Yarn,٪100 خيط كتان
100% Modal Yarn,٪100 خيط مودال
100% Mohair Yarn,٪100 خيط موهير
100% Nylon Yarn,٪100 خيط نايلون
100% Polyester Yarn,٪100 خيط بولستر
100% Polypropylene Yarn,٪100 خيط بوليبروبيلين
100% Rayon Yarn,٪100 خيط حرير اصطناعي
100% Silk Yarn,٪100 خيط حرير
100% Viscose Yarn,٪100 خيط فسكوز
100% Wool Yarn,٪100 خيط صوف
Blended Yarn,خيوط مخلوطة
Metallic Yarn,خيوط معدنية
Organic Yarn,خيوط عضوية
Spandex Yarn,خيوط سباندكس
Contact Lenses,عدسات لاصقة
Eyeglasses Frames,إطارات نظارات
Eyeglasses Lenses,عدسات نظارات
Eyeglasses Parts,أجزاء نظارات
Eyewear Accessories,ملحقات نظارات
Eyewear Displays,معروضات تظارات
Glasses Tools,أدوات نظارات
Reading Glasses,نظارات قراءة
Sports Eyewear,نظارات رياضية
Sunglasses,نظارات شمسية
Body Jewelry,مجوهرات الجسم
Bracelets & Bangles,أساور
Brooches,دبابيس
Cuff Links & Tie Clips,مشبك قمصان وربطات عنق
Earrings,أقراط
Hair Jewelry,مجوهرات شعر
Jewelry Boxes,علب مجوهرات
Jewelry Cleaners & Polish,منظفات وملمعات مجوهرات
Jewelry Findings & Components,مكونات وعدة مجوهرات
Jewelry Packaging & Display,عرض وتغليف مجوهرات
Jewelry Sets,أطقم مجوهرات
Jewelry Tools & Equipment,أدوات ومعدات مجوهرات
Loose Diamonds,ألماس
Loose Gemstone,أحجار كريمة
Loose Pearls,لآلىء
Necklaces,قلائد
Rings,خواتم
Nurse Watches,ساعات ممرضات
Pocket Watches Chain,ساعات جيب بسلسلة
Pocket Watches,ساعات جيب
Watches Accessories,ملحقات الساعات
Watches Bands,أربطة ساعات
Watches Boxes & Cases,صناديق ومحافظ ساعات
Wristwatch Tools & Parts,أدوات وقطع ساعات المعصم
Wristwatches,ساعات المعصم
Caulking Gun,مدفع سد الشقوق
Glass Cutter,قاطع زجاج
Plaster Trowel,أداة طينة (تطيين)
Putty Knife,سكين مد المعجون
Cleaning Tools,أدوات تنظيف
Digging Tools,أدوات حفر
Fork,شوكة
Garden Blower & Vacuum,منفاخ وشفّاط
Garden Cultivator,آلة حراثة
Garden Shredder,آلة إتلاف
Grass Trimmer,أداة تقليم العشب
Hedge Trimmer,أداة تقليم سياج شجيرات
Hoe,مجرفة
Lawn Mower,جزازة العشب
Pickaxe,فأس
Pruning Tools,أدوات تقليم
Rake,آلة تسوية الأرض
Sickle,منجل
Spade & Shovel,رفش ومجرفة
Brush,فرشاة
Chisel,إزميل
Hammer,مطرقة
Knife,سكين
Pliers,كماشة
Saw,منشار
Screwdriver,مفك براغي
Wrench,مفتاح ربط
Jacks,مرفع
Lifting Sling,حمّالة رفع
Hand Carts & Trolleys,عربات
Pallet Jack,مرفاع منصة نقل
Wheelbarrows,عجلة اليد
Winches,ونش
Blower,منفاخ
Drill Bit,ريشة حفر
Electric Drill,مثقب كهربائي
Electric Hammer,مطرقة كهربائية
Electric Pipe Threader,آلة كهربائية للولبة الأنابيب
Electric Planer,آلة استواء كهربائية
Electric Screwdriver,مفك براغي كهربائي
Electric Trimmer,أداة تقليم كهربائية
Electric Wrench,مفتاح ربط كهربائي
Glue Gun,مدفع غراء
Grinder,مطحنة
Grinding Wheel,عجلة طحن
Heat Cutting Tools,أدوات قطع حرارية
Heat Gun,مدفع حراري
Hot Melt Glue Sticks,أصابع صمغ
Hydraulic Tools,أدوات هيدروليكية
Nail Gun,مدفع مسامير
Pneumatic Tools,أدوات تعمل بضغط الهواء
Polisher,ملمّع
Polishing Pad,وسادة تلميع
Sander,ماكنة سنفرة (صنفرة) رملية
Sanding Disc,قرص صنفرة
Saw Blade,شفرة منشار
Spray Gun,مدفع رش
Hand Tool Sets,أدوات اليد
Paint Tool Sets,أطقم أدوات الطلاء
Power Tool Sets,أطقم أدوات تعمل بالطاقة
Tool Bag,حقيبة أدوات
Tool Box,صندوق أدوات
Tool Cabinet,خزانة أدوات
Tool Case,حافظة أدوات
Baby Mobiles,موبايلات أطفال
Baby Rattles,خرخاشات أطفال
Baby Teethers,حلقات التسنين
Play Mats,حصر للعب
Kaleidoscope,المشكال (كليدوسكوب)
Magic Tricks,الخدع السحرية
Spinning Top,بلبل
Windmill,الطاحونة
Yoyo,يويو
Drawing Toys,ألعاب رسم
Learning Machinery,آلات تعليم
Math Toys,ألعاب رياضيات
Toy Musical Instrument,أدوات موسيقية
Bubble Toys,ألعاب فقاعات
Flying Disc,القرص الطائر
Inflatable Bouncer,نطاط قابل للنفخ
Kites,طائرات ورقية
Toy Balls,كرات
Toy Swords,سيوف
Toy Tents,خيام
Doctor Toys,ألعاب دكتور
Furniture Toys,أثاث
Kitchen Toys,ألعاب مطبخي
Tool Toys,ألعاب أدوات
Bath Toy Animal,ألعاب الحمّام
Inflatable Animal Toy,ألعاب قابلة للنفخ
Ride On Animal Toy,ألعاب ركوب على الحيوانات
Stuffed & Plush Toy Animal,ألعاب محشوة
Ride On Car,ألعاب ركوب السيارات
Bicycle Bags & Boxes,حقائب وصناديق دراجات
Bicycle Basket,سلل دراجات
Bicycle Bell,جرس دراجة
Bicycle Computer,كمبيوتر دراجة
Bicycle Helmet,خوذة دراجة
Bicycle Light,ضوء دراجة
Bicycle Lock,قفل دراجة
Bicycle Rack,رف دراجة
Bicycle Brake,فرامل دراجة
Bicycle Chain,سلسلة دراجة
Bicycle Crank & Chainwheel,وسلسلة الدوران
Bicycle Fork,شوكة دراجة
Bicycle Frame,هيكل دراجة
Bicycle Handlebar,مقود دراجة
Bicycle Hubs,محور دراجة
Bicycle Pedal,دواسة دراجة
Bicycle Saddle,مقعد دراجة
Bicycle Tires,إطارات دراجة
Bicycle Wheel,عجلة دراجة
Barge,مركب نقل
Cabin Cruiser,طوّافة بكبينة
Canoe/Kayak,كانو / كاياك
Cargo Ship,سفينة شحن
Fishing Vessel,سفينة صيد
Passenger Ship,سفينة ركّاب
Raft,طوّافة
Sailboat,قارب شراعي
Tanker,سفينة صهريجية
Yacht,يخت
City Bus,باص مدينة
Sightseeing Bus & Car,باصات وسيارات مشاهدة المعالم
Bus Body Kits,مجموعات جسم الباص
Bus Lights,أضواء
Bus Wheel & Tires,عجلات وإطارات
Ambulance,إسعاف
Fire Truck,شاحنة إطفاء الحريق
Tow Truck & Wrecker,شاحنة قطر وسحب
Boat Anchor,مرساة قارب
Boat Cover,غطاء قارب
Boat Engine,محرك قارب
Marine Hardware,أجهزة بحرية
Marine Propeller,مروحة دافعة
Marine Pump,مضخة
Jetski,جت سكي
Atv Trailer,مقطورة Atv
Boat Trailer,مقطورة مركب
Car Trailer,مقطورة سيارة
Trailer Parts,قطع مقطورات
Travel Trailer,مقطورة سفر
Truck Trailer,مقطورة شاحنة
Cargo Truck,شاحنة بضائع
Cement Truck,شاحنة إسمنت
Dump Truck,شاحنة قلّاب
High Altitude Operation Truck,شاحنة مرتفعات كبيرة
Refrigerator Truck,شاحنة مبردة
Sewage Suction Truck,شاحنة شفط مياه المجاري
Tanker Truck,صهريج
Tractor Truck,شاحنة جرّارة
Truck Body Parts,قطع جسم الشاحنة
Truck Brake,فرامل الشاحنة
Truck Drivetrain & Axles,نظام الدفع والمحاور
Truck Electrical System,أنظمة الكهرباء
Truck Steering,أنظمة التوجيه
Truck Suspension,أنظمة التعليق
Feed Additives,إضافات الأعلاف
Agrochemicals & Pesticides,كيماويات زراعية ومبيدات
Fertilizer,الأسمدة
Alcohol & Hydroxybenzene & Ether,كحول، هيدروكسي البنزين، إثير
Aldehyde & Ketone & Chinone,ألدهيد، كيتون، كوينون
Amine,أمين
Benzene & Derivatives,البنزين ومشتقاته
Carbohydrate,كربوهيدرات
Ester & Derivatives,استر ومشتقاته
Hydrocarbon & Derivatives,هيدروكربونات ومشتقاتها
Organic Acid,حمض عضوي
Organic Salt,ملح عضوي
Enzymes,إنزيمات
Microecology,الإيكولوجيا الدقيقة
Catalyst,محفزات
Chemical Auxiliary Agent,عامل كيماوي مساعد
Alkali,قلو
Elementary Substances,مواد إبتدائية
Inorganic Acids,أحماض غير عضوية
Inorganic Salts,أملاح غير عضوية
Oxide,أوكسيد
Beaker,بيكر
Buret,إنبوبة القياس
Centrifuge Tubes,أنابيب أجهزة الطرد المركزي
Flask,قارورة
Funnel,قمع
Lab Balance,ميزان
Lab Drying Equipment,أدوات تجفيف
Laboratory Bottle,زجاجة
Laboratory Centrifuge,جهاز طرد مركزي
Laboratory Clamp,ملقاط
Laboratory Cylinder,اسطوانة
Laboratory Heating Equipment,معدات تدفئة
Laboratory Thermostatic Devices,أجهزة ثرموستاتية
Petri Dish,علبة بتري
